message,label
Solicite su muestra médica gratuita,1
Estudiando. Pero estaré libre el próximo fin de semana.,ham
"Hola mi boytoy ... careje, ya te extraño y me acabo de despertar. Ojalá estuvieras aquí en la cama conmigo, abrazándome. Te amo ...",ham
No sé porque llegué tarde y cuando llegué a ellos ya ... pero comimos Spageddies para ... Son las chicas las que se ríen de mí para ...,ham
Nuevas actualizaciones en nuestros términos y condiciones,0
¡Eso es genial! Soy un caballero y te trataré con dignidad y respeto.,ham
Bienvenido a nuestro club selecto,0
"Sí, debería poder, te enviaré un mensaje de texto cuando esté listo para encontrarme",ham
Tu reservación ha sido confirmada gracias por elegirnos,0
No se preocupe ... Use piezas de hielo en un paquete de tela. También tome 2 tabletas.,ham
Gana comisiones promocionando nuestros servicios,1
Te han preseleccionado para recibir un premio en efectivo,1
Descubre las 10 claves del exito empresarial,1
Los envié. ¿Te gusta?,ham
"Uno de los mejores diálogos en el lindo relatario .. !! ""¡Cuando muero, no te acerques a mi cuerpo ...! Porque mis manos no pueden llegar 2 Limpie tus lágrimas de esa vez ..! Gud ni8",ham
"¡Felicitaciones! 2 videófonos móviles 3G r suyos. ¡Llame al 09061744553 ahora! VideoChat con sus compañeros, juega Java Games, Dload Polyh Music, Noline Rentl. BX420. IP4. 5WE. 150pm",spam
"Ugh joder, me estoy volviendo a la víspera",ham
Proporciona esperanza patrocinando a un niño,0
"No jugaron un día el año pasado, a pesar de que tienen un equipo muy bueno ... como India.",ham
Firma el convenio de manera digital,0
¿Entonces no puedes obtener la computadora portátil? Mi tarjeta matric wif ü lei ...,ham
Verifique su correo electrónico para continuar,0
Hola ¿en qué puedo asesorarte?,0
Obtenga acceso temprano a nuestras ventas,1
"Sí, en la casa de Derek ahora, nos vemos el domingo y lt; 3",ham
Obtenga acceso exclusivo a nuestras ventas privadas,1
Comparta sus ideas sobre el proyecto conmigo,0
"Yo mi viaje se pospuso, ¿todavía te abasteciste?",ham
"Palabras dolorosas: ""Pensé que ser feliz era la cosa más difícil de la tierra ... pero lo más duro es actuar feliz con todo dolor tácito en el interior ...""",ham
"Hola, nos encantaría que seas parte de nuestro equipo.",0
¿Ver? Lo pensé todo,ham
¿Cómo nos ayudan los amigos en problemas? Dan la sugerencia más estúpida que nos lleva a otro problema y nos ayuda a olvidar el problema anterior.,ham
Hola chica. ¿CÓMO ESTÁS? ¡Espero que me hayas bien un Del R Bak! De nuevo mucho tiempo no c! Dame una suma de llamada de Lucyxx,ham
K :) todo lo mejor :) Felicidades ...,ham
"Gracias por su interés, nos comunicaremos con usted pronto",0
No. ¿Les envió un mensaje multimedia o un correo electrónico?,ham
No estoy nada feliz con lo que dices o haciendo,ham
"Bolsas de basura, huevos, mermelada, pan, Hannaford Wheat Chex",ham
Cuenta de prendas de estilo de vida no por favor.,ham
Su posible dnt vive en & lt;#& gt; siglo cm frwd n thnk diferente,ham
"Hola, Sathya, hasta ahora no nos encontramos ni siquiera una sola vez, ¿cómo puedo ver la situación sathya?",ham
¡Recoja su fin de semana de San Valentín a Paris Inc Flight & Hotel + Premio de £ 200 garantizado! Texto: París al no: 69101. Www.rtf.sphosting.com,spam
¿Quieres un nuevo teléfono de color Nokia 3510i EntregedTomorrow? Con 300 minutos gratuitos a cualquier móvil + 100 textos gratis + respuesta de videocorda gratuita o llame al 08000930705,spam
Extendemos su membresía sin costo,0
Obtenga un seguro de vida a un precio incomparable,1
¿Eres lo suficientemente único? Descúbrelo a partir del 30 de agosto. www.areyouunique.co.uk,spam
Dime que son mujeres: V ¿Cómo estás lanzando? Estamos decidiendo qué es lo que conseguir ahora,ham
De lo contrario tenía trabajo a tiempo parcial na-tuition ..,ham
"Yo sef ríe tú. Mientras tanto, ¿cómo está mi querido Anjie!",ham
Estoy despierto oh. Qué pasa.,ham
"Ah, bueno, eso confunde las cosas, ¿no? Pensé que era amigo ahora. Tal vez hice lo incorrecto, pero ya lo invité.",ham
Asegura tu futuro con nuestro plan de jubilación,1
Eso es genial. Quiero complacerte ...,ham
"Ok, me dirigiré a la USF en como quince minutos",ham
¡18 días al saque inicial euro2004! Se mantendrá informado de todas las últimas noticias y resultados diariamente. Cancelar la suscripción Enviar Get Euro Stop to 83222.,spam
Invierta en esta criptomoneda emergente y multiplique su dinero,1
Hola evaluemos tu perfil profesional,0
Erutupalam Thandiyachu,ham
Eso es Wondar Flim Flim.,ham
Mm esa vez no te gusta la diversión,ham
"Lo siento, llamaré más tarde",ham
Gana regalos con este código QR,1
"Para mí, el amor debería comenzar con la atracción. Debería sentir que la necesito cada vez que me rodea. Debería ser lo primero que viene en mi pensamiento. Comenzaría el día y lo terminaría con ella. Estaré enamorado cuando haré las cosas más locas para ella. El amor será cuando no tenga que provenir a nadie que mi niña sea la dama más bella del planeta.",ham
"¡Excelente! Disparo grandes cargas, ¡así que prepárate!",ham
Los envié. ¿Te gusta?,ham
"Feliz Navidad para ti también nena, te amo *besos *",ham
Disfruta de horas divertidas con este juego adictivo,1
Cualquier cosa para ... tú decides ...,ham
